table,game_id,feature_time,label_time
starter,2021-09-23_STL_MIL,2021-09-23 00:00:00+00:00,2021-09-23 00:00:00+00:00
starter,2021-09-23_STL_MIL,2021-09-23 00:00:00+00:00,2021-09-23 00:00:00+00:00
starter,2021-09-23_SEA_OAK,2021-09-23 00:00:00+00:00,2021-09-23 00:00:00+00:00
starter,2021-09-23_SEA_OAK,2021-09-23 00:00:00+00:00,2021-09-23 00:00:00+00:00
starter,2021-09-24_TEX_BAL,2021-09-24 00:00:00+00:00,2021-09-24 00:00:00+00:00
starter,2021-09-24_TEX_BAL,2021-09-24 00:00:00+00:00,2021-09-24 00:00:00+00:00
starter,2021-09-23_SF_SD,2021-09-23 00:00:00+00:00,2021-09-23 00:00:00+00:00
starter,2021-09-23_SF_SD,2021-09-23 00:00:00+00:00,2021-09-23 00:00:00+00:00
starter,2021-09-23_HOU_LAA,2021-09-23 00:00:00+00:00,2021-09-23 00:00:00+00:00
starter,2021-09-23_HOU_LAA,2021-09-23 00:00:00+00:00,2021-09-23 00:00:00+00:00
starter,2021-09-23_CWS_CLE,2021-09-23 00:00:00+00:00,2021-09-23 00:00:00+00:00
starter,2021-09-23_CWS_CLE,2021-09-23 00:00:00+00:00,2021-09-23 00:00:00+00:00
starter,2021-09-23_CWS_CLE,2021-09-23 00:00:00+00:00,2021-09-23 00:00:00+00:00
starter,2021-09-23_CWS_CLE,2021-09-23 00:00:00+00:00,2021-09-23 00:00:00+00:00
starter,2021-09-24_NYY_BOS,2021-09-24 00:00:00+00:00,2021-09-24 00:00:00+00:00
starter,2021-09-24_NYY_BOS,2021-09-24 00:00:00+00:00,2021-09-24 00:00:00+00:00
starter,2021-09-23_ATL_AZ,2021-09-23 00:00:00+00:00,2021-09-23 00:00:00+00:00
starter,2021-09-23_ATL_AZ,2021-09-23 00:00:00+00:00,2021-09-23 00:00:00+00:00
starter,2021-09-23_TOR_MIN,2021-09-23 00:00:00+00:00,2021-09-23 00:00:00+00:00
starter,2021-09-23_TOR_MIN,2021-09-23 00:00:00+00:00,2021-09-23 00:00:00+00:00
starter,2021-09-23_LAD_COL,2021-09-23 00:00:00+00:00,2021-09-23 00:00:00+00:00
starter,2021-09-23_LAD_COL,2021-09-23 00:00:00+00:00,2021-09-23 00:00:00+00:00
starter,2021-09-22_TOR_TB,2021-09-22 00:00:00+00:00,2021-09-22 00:00:00+00:00
starter,2021-09-22_TOR_TB,2021-09-22 00:00:00+00:00,2021-09-22 00:00:00+00:00
starter,2021-09-21_SF_SD,2021-09-21 00:00:00+00:00,2021-09-21 00:00:00+00:00
starter,2021-09-21_SF_SD,2021-09-21 00:00:00+00:00,2021-09-21 00:00:00+00:00
starter,2021-09-21_WSH_MIA,2021-09-21 00:00:00+00:00,2021-09-21 00:00:00+00:00
starter,2021-09-21_WSH_MIA,2021-09-21 00:00:00+00:00,2021-09-21 00:00:00+00:00
starter,2021-09-19_CLE_NYY,2021-09-19 00:00:00+00:00,2021-09-19 00:00:00+00:00
starter,2021-09-19_CLE_NYY,2021-09-19 00:00:00+00:00,2021-09-19 00:00:00+00:00
starter,2021-09-22_TEX_NYY,2021-09-22 00:00:00+00:00,2021-09-22 00:00:00+00:00
starter,2021-09-22_TEX_NYY,2021-09-22 00:00:00+00:00,2021-09-22 00:00:00+00:00
starter,2021-09-22_BAL_PHI,2021-09-22 00:00:00+00:00,2021-09-22 00:00:00+00:00
starter,2021-09-22_BAL_PHI,2021-09-22 00:00:00+00:00,2021-09-22 00:00:00+00:00
starter,2021-09-22_SEA_OAK,2021-09-22 00:00:00+00:00,2021-09-22 00:00:00+00:00
starter,2021-09-22_SEA_OAK,2021-09-22 00:00:00+00:00,2021-09-22 00:00:00+00:00
starter,2021-09-22_SF_SD,2021-09-22 00:00:00+00:00,2021-09-22 00:00:00+00:00
starter,2021-09-22_SF_SD,2021-09-22 00:00:00+00:00,2021-09-22 00:00:00+00:00
starter,2021-09-22_WSH_MIA,2021-09-22 00:00:00+00:00,2021-09-22 00:00:00+00:00
starter,2021-09-22_WSH_MIA,2021-09-22 00:00:00+00:00,2021-09-22 00:00:00+00:00
starter,2021-09-22_STL_MIL,2021-09-22 00:00:00+00:00,2021-09-22 00:00:00+00:00
starter,2021-09-22_STL_MIL,2021-09-22 00:00:00+00:00,2021-09-22 00:00:00+00:00
starter,2021-09-23_WSH_CIN,2021-09-23 00:00:00+00:00,2021-09-23 00:00:00+00:00
starter,2021-09-23_WSH_CIN,2021-09-23 00:00:00+00:00,2021-09-23 00:00:00+00:00
starter,2021-09-27_PIT_CIN,2021-09-27 00:00:00+00:00,2021-09-27 00:00:00+00:00
starter,2021-09-27_PIT_CIN,2021-09-27 00:00:00+00:00,2021-09-27 00:00:00+00:00
starter,2021-09-22_NYM_BOS,2021-09-22 00:00:00+00:00,2021-09-22 00:00:00+00:00
starter,2021-09-22_NYM_BOS,2021-09-22 00:00:00+00:00,2021-09-22 00:00:00+00:00
starter,2021-09-23_TEX_BAL,2021-09-23 00:00:00+00:00,2021-09-23 00:00:00+00:00
starter,2021-09-23_TEX_BAL,2021-09-23 00:00:00+00:00,2021-09-23 00:00:00+00:00
starter,2021-09-21_TOR_TB,2021-09-21 00:00:00+00:00,2021-09-21 00:00:00+00:00
starter,2021-09-21_TOR_TB,2021-09-21 00:00:00+00:00,2021-09-21 00:00:00+00:00
starter,2021-09-22_ATL_AZ,2021-09-22 00:00:00+00:00,2021-09-22 00:00:00+00:00
starter,2021-09-22_ATL_AZ,2021-09-22 00:00:00+00:00,2021-09-22 00:00:00+00:00
starter,2021-09-27_CWS_DET,2021-09-27 00:00:00+00:00,2021-09-27 00:00:00+00:00
starter,2021-09-27_CWS_DET,2021-09-27 00:00:00+00:00,2021-09-27 00:00:00+00:00
starter,2021-09-22_LAD_COL,2021-09-22 00:00:00+00:00,2021-09-22 00:00:00+00:00
starter,2021-09-22_LAD_COL,2021-09-22 00:00:00+00:00,2021-09-22 00:00:00+00:00
starter,2021-09-22_HOU_LAA,2021-09-22 00:00:00+00:00,2021-09-22 00:00:00+00:00
starter,2021-09-22_HOU_LAA,2021-09-22 00:00:00+00:00,2021-09-22 00:00:00+00:00
starter,2021-09-21_TEX_NYY,2021-09-21 00:00:00+00:00,2021-09-21 00:00:00+00:00
starter,2021-09-21_TEX_NYY,2021-09-21 00:00:00+00:00,2021-09-21 00:00:00+00:00
starter,2021-09-21_STL_MIL,2021-09-21 00:00:00+00:00,2021-09-21 00:00:00+00:00
starter,2021-09-21_STL_MIL,2021-09-21 00:00:00+00:00,2021-09-21 00:00:00+00:00
starter,2021-09-21_KC_CLE,2021-09-21 00:00:00+00:00,2021-09-21 00:00:00+00:00
starter,2021-09-21_KC_CLE,2021-09-21 00:00:00+00:00,2021-09-21 00:00:00+00:00
